#,Name,Red,Green,Blue,Yellow,Gold,Silver,Crystal,Ruby,Sapphire,Fire Red,Leaf Green,Emerald,Diamond,Pearl,Platinium,Heart Gold,Soul Silver,Black,White,Black 2,White 2,X,Y,Omega Ruby,Alpha Sapphire,Sun,Moon,Ultra Sun,Ultra Moon,Let's Go Pikachu,Let's Go Eevee,Sword,Shield,Brillant Diamond,Shining Pearl,Pokémon Legends Arceus
279,Pelipper,,,,,,,,C,C,T,T,C,C,C,C,E,E,C,C,C,C,E,E,C,C,C,C,C,C,,,C,C,C,C,—
280,Ralts,,,,,,,,C,C,T,T,C,C,C,C,S,S,DW,C,R,R,C,C,C,C,T,T,S,S,,,C,C,C,C,C
281,Kirlia,,,,,,,,E,E,T,T,E,C,C,C,E,E,DWE,E,E,E,E,E,E,E,T,T,E,E,,,C,C,C,C,C
282,Gardevoir,,,,,,,,E,E,T,T,E,E,E,E,E,E,DWE,E,E,E,E,E,E,E,T,T,E,E,,,C,C,E,E,C
283,Surskit,,,,,,,,C,C,Ev,Ev,CCS,S,S,C,C,C,DW,C,B,B,B,B,C,C,C,C,C,C,,,—,—,C,C,—
284,Masquerain,,,,,,,,E,E,EvE,EvE,CCE,E,E,C,C,C,DWE,E,S,S,C,C,C,C,C,C,C,C,,,—,—,E,E,—
285,Shroomish,,,,,,,,C,C,T,T,C,S,S,S,C,C,S,DW,B,B,FSB,FSB,C,C,T,T,T,T,,,—,—,S,S,—
286,Breloom,,,,,,,,E,E,T,T,E,E,E,E,C,C,E,DWE,C,C,FS,FS,E,E,T,T,T,T,,,—,—,E,E,—
287,Slakoth,,,,,,,,C,C,T,T,C,S,S,S,C,C,DW,C,B,B,T,T,C,C,B,B,T,T,,,—,—,S,S,—
288,Vigoroth,,,,,,,,E,E,T,T,E,E,E,E,C,C,DWE,E,C,C,T,T,E,E,S,S,T,T,,,—,—,E,E,—
289,Slaking,,,,,,,,E,E,T,T,E,E,E,E,E,E,DWE,E,C,C,T,T,E,E,E,E,T,T,,,—,—,E,E,—
290,Nincada,,,,,,,,C,C,T,T,C,C,C,C,C,C,DW,DW,DW,DW,C,C,C,C,T,T,T,T,,,C,C,C,C,—
291,Ninjask,,,,,,,,E,E,T,T,E,E,E,E,E,E,DWE,DWE,DWE,DWE,E,E,E,E,T,T,T,T,,,C,C,E,E,—
292,Shedinja,,,,,,,,E,E,T,T,E,E,E,E,E,E,DWE,DWE,DWE,DWE,E,E,E,E,T,T,T,T,,,D,D,E,E,—
293,Whismur,,,,,,,,C,C,Ev,Ev,C,B,B,B,C,C,DW,C,DW,DW,C,C,C,C,T,T,T,T,,,CD,CD,B,B,—
294,Loudred,,,,,,,,C,C,EvE,EvE,C,C,C,C,E,E,DWE,E,DWE,DWE,E,E,C,C,T,T,T,T,,,CD,CD,C,C,—
295,Exploud,,,,,,,,E,E,EvE,EvE,E,E,E,E,E,E,DWE,E,DWE,DWE,E,E,E,E,T,T,T,T,,,DD,DD,E,E,—
296,Makuhita,,,,,,,,C,C,T,T,C,S,S,S,C,C,DW,DW,B,B,B,B,C,C,C,C,C,C,,,—,—,S,S,—
297,Hariyama,,,,,,,,C,C,T,T,C,E,E,E,E,E,DWE,DWE,C,C,C,C,C,C,C,C,C,C,,,—,—,E,E,—
298,Azurill,,,,,,,,B,B,T,B,B,C,C,C,C,C,DWB,C,C,C,C,C,B,B,B,B,T,T,,,CD,CD,C,C,—
299,Nosepass,,,,,,,,C,C,T,T,C,S,S,C,C,C,DW,DW,C,C,C,C,C,C,C,C,C,C,,,—,—,S,S,C
300,Skitty,,,,,,,,C,C,Ev,Ev,C,S,S,S,PW,PW,DW,DW,DW,C,C,C,C,C,T,T,T,T,,,—,—,C,C,—
301,Delcatty,,,,,,,,E,E,EvE,EvE,E,E,E,E,PWE,PWE,DWE,DWE,DWE,C,E,E,E,E,T,T,T,T,,,—,—,E,E,—
302,Sableye,,,,,,,,Ev,C,Ev,Ev,C,D,D,D,S,T,C,C,R,R,C,C,Ev,C,C,C,C,C,,,T,C,T,C,—
303,Mawile,,,,,,,,C,Ev,Ev,Ev,C,D,D,D,T,S,C,C,R,R,C,C,C,T,T,T,C,C,,,C,T,C,T,—
304,Aron,,,,,,,,C,C,T,T,C,C,T,C,C,C,DW,C,C,C,C,EvB,C,C,T,T,B,B,,,CD,CD,C,C,—
305,Lairon,,,,,,,,C,C,T,T,C,E,T,E,C,C,DWE,E,C,C,C,EvB,C,C,T,T,B,B,,,CD,CD,C,C,—
306,Aggron,,,,,,,,E,E,T,T,E,E,T,E,E,E,DWE,E,E,E,E,Ev,E,E,T,T,S,S,,,CD,CD,E,E,—
307,Meditite,,,,,,,,C,C,Ev,Ev,Ev,C,C,C,C,C,DW,DW,B,B,C,C,C,C,T,T,B,B,,,—,—,C,C,—
308,Medicham,,,,,,,,C,C,EvE,EvE,EvE,C,C,C,C,C,DWE,DWE,C,C,E,E,C,C,T,T,C,C,,,—,—,C,C,—
309,Electrike,,,,,,,,C,C,T,T,C,S,S,S,C,C,DW,DW,B,B,FSB,C,C,C,T,T,T,C,,,C,C,S,S,—
310,Manectric,,,,,,,,C,C,T,T,C,E,E,E,C,C,DWE,DWE,C,C,FS,E,E,E,T,T,T,C,,,C,C,E,E,—
311,Plusle,,,,,,,,C,C,Ev,Ev,C,S,S,S,C,C,S,DW,S,DW,C,C,C,C,T,T,T,T,,,—,—,S,S,—
312,Minun,,,,,,,,C,C,Ev,Ev,C,S,S,S,C,C,DW,S,DW,S,C,C,C,C,T,T,T,T,,,—,—,S,S,—
313,Volbeat,,,,,,,,C,C,T,T,C,C,C,C,C,C,S,B,S,B,C,C,C,C,T,T,T,T,,,—,—,C,C,—
314,Illumise,,,,,,,,C,C,T,T,C,C,C,C,C,C,B,S,B,S,C,C,C,C,T,T,T,T,,,—,—,C,C,—
315,Roselia,,,,,,,,C,C,Ev,Ev,Ev,C,C,C,C,C,DW,E,C,C,C,C,C,C,S,S,T,T,,,C,C,C,C,C
316,Gulpin,,,,,,,,C,C,T,T,C,S,S,S,T,S,DW,DW,B,B,C,C,C,C,T,T,T,T,,,—,—,S,S,—
317,Swalot,,,,,,,,E,E,T,T,E,E,E,E,T,E,DWE,DWE,S,S,E,E,E,E,T,T,T,T,,,—,—,E,E,—
318,Carvanha,,,,,,,,C,C,T,T,C,C,C,C,PW,PW,C,C,C,C,C,C,C,C,B,B,C,C,,,CD,CD,C,C,—
319,Sharpedo,,,,,,,,C,C,T,T,C,C,C,E,PWE,PWE,C,C,C,C,C,C,C,C,C,C,C,C,,,CD,CD,C,C,—
320,Wailmer,,,,,,,,C,C,T,T,C,C,C,C,PW,PW,C,C,C,C,C,C,C,C,C,C,C,C,,,C,C,C,C,—
321,Wailord,,,,,,,,C,C,T,T,C,C,C,C,PWE,PWE,C,C,C,C,E,E,E,E,C,C,C,C,,,C,C,C,C,—
322,Numel,,,,,,,,C,C,T,T,C,C,C,C,C,C,DW,DW,DW,C,FSB,FSB,C,C,T,T,T,T,,,—,—,C,C,—
323,Camerupt,,,,,,,,E,E,T,T,E,C,C,C,E,E,DWE,DW,DWE,C,FS,FS,R,R,T,T,T,T,,,—,—,C,C,—
324,Torkoal,,,,,,,,C,C,T,T,C,C,C,C,C,C,DW,DW,DW,DW,C,C,C,C,C,C,C,C,,,C,C,C,C,—
325,Spoink,,,,,,,,C,C,Ev,Ev,C,S,S,S,C,C,DW,DW,C,DW,C,C,C,C,T,T,B,B,,,—,—,S,S,—
326,Grumpig,,,,,,,,E,E,EvE,EvE,E,E,E,E,E,E,DWE,DWE,C,DWE,E,E,E,E,T,T,C,C,,,—,—,E,E,—
327,Spinda,,,,,,,,C,C,Ev,Ev,C,S,S,S,C,C,DW,DW,R,R,C,C,C,C,C,C,C,C,,,—,—,S,S,—
328,Trapinch,,,,,,,,C,C,T,T,C,C,C,T,C,C,DW,C,C,C,C,C,C,C,C,C,C,C,,,C,C,C,C,—
329,Vibrava,,,,,,,,E,E,T,T,E,C,C,T,C,C,DWE,E,C,C,E,E,E,E,E,E,E,E,,,D,D,C,C,—
330,Flygon,,,,,,,,E,E,T,T,E,E,E,T,E,E,DWE,E,E,E,E,E,E,E,E,E,E,E,,,C,C,E,E,—
331,Cacnea,,,,,,,,C,C,Ev,Ev,C,C,C,C,C,C,DW,DW,B,B,FSB,FSB,C,C,T,T,T,T,,,—,—,C,C,—
332,Cacturne,,,,,,,,E,E,EvE,EvE,E,C,C,C,C,C,DWE,DWE,S,S,FS,FS,E,E,T,T,T,T,,,—,—,C,C,—
333,Swablu,,,,,,,,C,C,Ev,Ev,C,C,C,C,S,S,B,B,C,C,C,C,C,C,T,T,B,B,,,CD,CD,C,C,—
334,Altaria,,,,,,,,C,C,EvE,EvE,C,E,E,E,E,E,C,C,C,C,C,C,E,E,T,T,C,C,,,CD,CD,E,E,—
335,Zangoose,,,,,,,,C,Ev,Ev,Ev,Ev,D,D,D,C,C,C,C,C,C,C,C,C,T,T,T,T,T,,,—,—,C,T,—
336,Seviper,,,,,,,,Ev,C,Ev,Ev,C,D,D,D,C,C,C,C,C,C,C,C,T,C,T,T,T,T,,,—,—,T,C,—
337,Lunatone,,,,,,,,Ev,C,Ev,Ev,Ev,D,D,D,C,C,C,C,C,C,C,C,T,C,Ev,Ev,T,T,,,T,C,T,C,—
338,Solrock,,,,,,,,C,Ev,Ev,Ev,C,D,D,D,C,C,C,C,C,C,C,C,C,T,Ev,Ev,T,T,,,C,T,C,T,—
339,Barboach,,,,,,,,C,C,T,T,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,C,C,C,C,C
340,Whiscash,,,,,,,,C,C,T,T,C,C,C,C,S,S,C,C,C,C,C,C,C,C,C,C,E,E,,,C,C,C,C,C
341,Corphish,,,,,,,,C,C,Ev,Ev,C,C,C,C,C,C,DW,C,C,C,C,C,C,C,T,T,C,C,,,C,C,C,C,—
342,Crawdaunt,,,,,,,,E,E,EvE,EvE,E,C,C,C,E,E,DWE,E,C,C,C,C,C,C,T,T,C,C,,,C,C,C,C,—
343,Baltoy,,,,,,,,C,C,T,T,C,C,C,C,S,T,B,B,C,C,T,T,C,C,T,T,T,C,,,C,C,C,C,—
344,Claydol,,,,,,,,C,C,T,T,C,E,E,E,E,T,C,C,E,E,T,T,C,C,T,T,T,E,,,C,C,E,E,—
345,Lileep,,,,,,,,R,R,T,T,R,R,R,R,T,R,R,R,R,R,R,T,R,R,T,T,R,R,,,CD,CD,R,R,—
346,Cradily,,,,,,,,E,E,T,T,E,E,E,E,T,E,E,E,E,E,E,T,E,E,T,T,E,E,,,DA,DA,E,E,—
347,Anorith,,,,,,,,R,R,T,T,R,R,R,R,R,T,R,R,R,R,R,T,R,R,T,T,R,R,,,CD,CD,R,R,—
348,Armaldo,,,,,,,,E,E,T,T,E,E,E,E,E,T,E,E,E,E,E,T,E,E,T,T,E,E,,,CD,CD,E,E,—
349,Feebas,,,,,,,,C,C,T,T,C,C,C,C,PW,PW,C,C,C,C,T,T,C,C,C,C,C,C,,,C,C,C,C,—
350,Milotic,,,,,,,,E,E,T,T,E,E,E,E,PWE,PWE,C,C,C,C,T,T,E,E,ET,ET,ET,ET,,,C,C,E,E,—
351,Castform,,,,,,,,R,R,T,T,R,S,S,S,PW,PW,DW,DW,C,C,T,T,R,R,C,C,C,C,,,—,—,S,S,—
352,Kecleon,,,,,,,,C,C,T,T,C,C,T,S,PW,PW,DW,DW,CC,CC,C,C,C,C,T,T,C,C,,,—,—,C,T,—
353,Shuppet,,,,,,,,C,C,T,T,C,B,B,B,C,C,S,S,B,B,B,B,C,C,T,T,C,C,,,—,—,B,B,—
354,Banette,,,,,,,,E,C,T,T,C,C,C,C,C,C,E,E,C,C,C,C,E,E,T,T,C,C,,,—,—,C,C,—
355,Duskull,,,,,,,,C,C,T,T,C,C,C,C,C,C,DW,DW,DW,DW,FSB,FSB,C,C,T,T,T,T,,,C,C,C,C,C
356,Dusclops,,,,,,,,C,E,T,T,E,C,C,C,C,C,DWE,DWE,DWE,DWE,FS,FS,E,E,T,T,T,T,,,C,C,C,C,C
357,Tropius,,,,,,,,C,C,T,T,C,Ev,Ev,C,PW,PW,C,C,C,C,FS,FS,C,C,T,T,C,C,,,—,—,C,C,—
358,Chimecho,,,,,,,,C,C,Ev,Ev,C,C,C,C,C,C,C,C,DW,DW,E,E,C,C,T,T,T,T,,,—,—,C,C,C
359,Absol,,,,,,,,C,C,Ev,Ev,C,S,S,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,CD,CD,C,C,—
360,Wynaut,,,,,,,,C,C,B,B,C,B,B,B,B,B,S,S,B,B,B,B,R,R,T,T,T,T,,,D,D,B,B,—
361,Snorunt,,,,,,,,C,C,T,T,C,C,C,C,PW,PW,DW,DW,DW,DW,FS,FS,C,C,C,C,C,C,,,C,C,C,C,C
362,Glalie,,,,,,,,E,E,T,T,E,E,E,E,PWE,PWE,DWE,DWE,DWE,DWE,FSE,FSE,E,E,C,C,C,C,,,C,C,C,C,C
363,Spheal,,,,,,,,C,C,T,T,C,T,C,B,C,C,C,C,C,C,FS,FS,C,C,S,S,S,S,,,CD,CD,B,C,C
364,Sealeo,,,,,,,,E,E,T,T,E,T,C,C,C,C,C,C,C,C,FSE,FSE,C,C,E,E,E,E,,,CD,CD,E,C,C
365,Walrein,,,,,,,,E,E,T,T,E,T,E,E,E,E,C,C,C,C,FSE,FSE,E,E,E,E,E,E,,,CD,CD,C,C,C
366,Clamperl,,,,,,,,C,C,T,T,C,C,C,T,S,S,C,C,C,C,C,C,C,C,T,T,C,C,,,—,—,C,C,—
367,Huntail,,,,,,,,ET,ET,T,T,ET,ET,ET,T,ET,ET,C,ET,C,ET,C,ET,ET,ET,T,T,C,C,,,—,—,ET,ET,—
368,Gorebyss,,,,,,,,ET,ET,T,T,ET,ET,ET,T,ET,ET,ET,C,ET,C,ET,C,ET,ET,T,T,C,C,,,—,—,ET,ET,—
369,Relicanth,,,,,,,,C,C,T,T,C,C,C,C,S,S,C,C,C,C,C,C,C,C,C,C,C,C,,,CD,CD,C,C,—
370,Luvdisc,,,,,,,,C,C,T,T,C,C,C,C,S,S,C,C,C,C,C,C,C,C,C,C,C,C,,,—,—,C,C,—
371,Bagon,,,,,,,,C,C,T,T,C,EvB,C,C,C,C,DW,C,C,C,C,C,C,C,C,C,C,C,,,CD,T,T,C,—
372,Shelgon,,,,,,,,E,E,T,T,E,EvB,E,E,C,C,DWE,E,E,E,E,E,E,E,C,C,C,C,,,DD,T,T,C,—
373,Salamence,,,,,,,,E,E,T,T,E,Ev,E,E,E,E,DWE,E,E,E,E,E,E,E,C,C,C,C,,,CD,T,T,E,—
374,Beldum,,,,,,,,R,R,EvB,EvB,R,S,S,S,C,C,B,B,B,B,FSB,FSB,R,R,C,C,C,C,,,CD,CD,C,C,—
375,Metang,,,,,,,,E,E,Ev,Ev,E,E,E,E,C,C,C,C,C,C,FS,FS,E,E,C,C,E,E,,,CD,CD,E,E,—
376,Metagross,,,,,,,,E,E,EvE,EvE,E,E,E,E,E,E,C,C,C,C,FSE,FSE,E,E,E,E,E,E,,,CD,CD,E,E,—
377,Regirock,,,,,,,,C,C,Ev,Ev,C,T,T,EV,T,T,T,T,C,C,Ev,Ev,C,C,T,T,C,C,,,CD,CD,C,C,—
378,Regice,,,,,,,,C,C,Ev,Ev,C,T,T,EV,T,T,T,T,CC,C,Ev,Ev,C,C,T,T,C,C,,,CD,CD,C,C,—
379,Registeel,,,,,,,,C,C,Ev,Ev,C,T,T,EV,T,T,T,T,C,CC,Ev,Ev,C,C,T,T,C,C,,,CD,CD,C,C,—
380,Latias,,,,,,,,EV,C,Ev,Ev,C,T,T,T,C,EV,T,T,T,C,T,T,EV,R,Ev,T,Ev,C,,,CCDA,DA,C,C,—
381,Latios,,,,,,,,C,EV,Ev,Ev,C,T,T,T,EV,C,T,T,C,T,Ev,Ev,R,EV,T,Ev,C,Ev,,,DA,CCDA,C,C,—
382,Kyogre,,,,,,,,T,C,T,T,C,T,T,T,C,T,Ev,Ev,T,Ev,Ev,Ev,Ev,C,Ev,T,Ev,C,,,CCDA,DA,C,C,—
383,Groudon,,,,,,,,C,T,T,T,C,T,T,T,T,C,Ev,Ev,Ev,T,Ev,Ev,C,Ev,T,Ev,C,Ev,,,DA,CCDA,C,C,—
384,Rayquaza,,,,,,,,C,C,T,T,C,Ev,Ev,T,CC,CC,Ev,Ev,T,T,Ev,Ev,C,C,T,T,CC,CC,,,DA,DA,C,C,—
385,Jirachi,,,,,,,,Ev,Ev,Ev,Ev,Ev,Ev,Ev,Ev,Ev,Ev,Ev,Ev,Ev,Ev,Ev,Ev,Ev,Ev,Ev,Ev,Ev,Ev,,,T,T,CCR,CCR,—
386,Deoxys,,,,,,,,Ev,Ev,EV,EV,EV,Ev,Ev,Ev,Ev,Ev,Ev,Ev,Ev,Ev,T,T,C,C,T,T,T,T,,,—,—,T,T,—
387,Turtwig,,,,,,,,,,,,,R,R,R,T,T,Ev,Ev,EvB,EvB,T,T,R,R,T,T,B,B,,,—,—,C,C,C
388,Grotle,,,,,,,,,,,,,E,E,E,T,T,EvE,EvE,EvB,EvB,T,T,E,E,T,T,S,S,,,—,—,E,E,C
389,Torterra,,,,,,,,,,,,,E,E,E,T,T,EvE,EvE,Ev,Ev,T,T,E,E,T,T,E,E,,,—,—,E,E,C
390,Chimchar,,,,,,,,,,,,,R,R,R,Ev,Ev,Ev,Ev,EvB,EvB,EvB,EvB,R,R,T,T,B,B,,,—,—,C,C,C
391,Monferno,,,,,,,,,,,,,E,E,E,EvE,EvE,EvE,EvE,EvB,EvB,EvB,EvB,E,E,T,T,S,S,,,—,—,E,E,C
392,Infernape,,,,,,,,,,,,,E,E,E,EvE,EvE,EvE,EvE,Ev,Ev,Ev,Ev,E,E,T,T,E,E,,,—,—,E,E,C
393,Piplup,,,,,,,,,,,,,R,R,R,T,T,Ev,Ev,Ev,Ev,Ev,Ev,R,R,Ev,Ev,B,B,,,—,—,C,C,C
394,Prinplup,,,,,,,,,,,,,E,E,E,T,T,EvE,EvE,EvE,EvE,EvE,EvE,E,E,EvE,EvE,S,S,,,—,—,E,E,C
395,Empoleon,,,,,,,,,,,,,E,E,E,T,T,EvE,EvE,Ev,Ev,EvE,EvE,E,E,EvE,EvE,E,E,,,—,—,E,E,C
396,Starly,,,,,,,,,,,,,C,C,C,C,C,DWB,C,DWB,DWB,C,C,T,T,B,B,T,T,,,—,—,C,C,C
397,Staravia,,,,,,,,,,,,,C,C,C,E,E,DW,E,DW,DW,C,C,T,T,S,S,T,T,,,—,—,C,C,C
398,Staraptor,,,,,,,,,,,,,E,E,E,E,E,DWE,E,DWE,DWE,E,E,T,T,E,E,T,T,,,—,—,E,E,C
399,Bidoof,,,,,,,,,,,,,C,C,C,C,C,B,B,B,B,C,C,T,T,T,T,T,T,,,—,—,C,C,C
400,Bibarel,,,,,,,,,,,,,C,C,C,E,E,C,C,C,C,C,C,T,T,T,T,T,T,,,—,—,C,C,C
401,Kricketot,,,,,,,,,,,,,C,C,C,C,C,B,B,DW,DW,T,T,B,B,T,T,T,T,,,—,—,C,C,C
402,Kricketune,,,,,,,,,,,,,C,C,C,C,C,C,C,DWE,DWE,T,T,C,C,T,T,T,T,,,—,—,C,C,C
403,Shinx,,,,,,,,,,,,,C,C,C,C,C,DW,C,DW,DW,FSB,FSB,B,B,B,B,T,T,,,CD,CD,C,C,C
404,Luxio,,,,,,,,,,,,,C,C,C,C,C,DWE,E,DWE,DWE,FS,FS,C,C,S,S,T,T,,,CD,CD,C,C,C
405,Luxray,,,,,,,,,,,,,E,E,E,E,E,DWE,E,DWE,DWE,FSE,FSE,E,E,E,E,T,T,,,CD,CD,E,E,C
406,Budew,,,,,,,,,,,,,C,C,C,C,C,DWB,C,B,B,C,C,B,B,B,B,T,T,,,C,C,C,C,C
407,Roserade,,,,,,,,,,,,,E,E,E,E,E,DWE,E,C,C,E,E,E,E,E,E,T,T,,,C,C,E,E,C
408,Cranidos,,,,,,,,,,,,,R,T,R,T,T,R,R,R,R,R,R,T,R,R,T,R,R,,,—,—,R,T,C
409,Rampardos,,,,,,,,,,,,,E,T,E,T,T,E,E,E,E,E,E,T,E,E,T,E,E,,,—,—,E,T,C
410,Shieldon,,,,,,,,,,,,,T,R,R,T,T,R,R,R,R,R,R,R,T,T,R,R,R,,,—,—,T,R,C
411,Bastiodon,,,,,,,,,,,,,T,E,E,T,T,E,E,E,E,E,E,E,T,T,E,E,E,,,—,—,T,E,C
412,Burmy,,,,,,,,,,,,,C,C,C,C,C,DW,DW,DW,DW,C,C,T,T,T,T,T,T,,,—,—,C,C,C
413,Wormadam,,,,,,,,,,,,,E,E,E,E,E,DWE,DWE,DWE,DWE,E,E,T,T,T,T,T,T,,,—,—,E,E,C
414,Mothim,,,,,,,,,,,,,E,E,E,E,E,DWE,DWE,DWE,DWE,E,E,T,T,T,T,T,T,,,—,—,E,E,C
415,Combee,,,,,,,,,,,,,C,C,C,C,C,C,C,C,C,C,C,T,T,T,T,T,T,,,C,C,C,C,C
416,Vespiquen,,,,,,,,,,,,,E,E,E,E,E,C,C,C,C,E,E,T,T,T,T,T,T,,,C,C,E,E,C
417,Pachirisu,,,,,,,,,,,,,C,C,C,C,C,DW,DW,C,C,C,C,Ev,Ev,T,T,T,T,,,—,—,C,C,C
418,Buizel,,,,,,,,,,,,,C,C,C,C,C,C,C,C,C,B,B,T,T,T,T,B,B,,,—,—,C,C,C
419,Floatzel,,,,,,,,,,,,,C,C,C,C,C,C,C,C,C,C,C,T,T,T,T,C,C,,,—,—,C,C,C
420,Cherubi,,,,,,,,,,,,,C,C,C,C,C,B,B,DW,DW,T,T,B,B,T,T,T,T,,,C,C,C,C,C
421,Cherrim,,,,,,,,,,,,,E,E,E,E,E,C,C,DWE,DWE,T,T,C,C,T,T,T,T,,,D,D,E,E,C
422,Shellos,,,,,,,,,,,,,C,C,C,PW,PW,DW,DW,R,R,FSB,FSB,C,T,T,T,R,R,,,T,T,C,C,C
422,Shellos,,,,,,,,,,,,,C,C,C,T,T,DW,DW,R,R,T,T,T,C,B,B,B,B,,,C,C,C,C,C
423,Gastrodon,,,,,,,,,,,,,C,C,C,PWE,PWE,DWE,DWE,E,E,FS,FS,E,T,T,T,E,E,,,T,T,C,C,C
423,Gastrodon,,,,,,,,,,,,,C,C,C,T,T,DWE,DWE,E,E,T,T,T,E,C,C,C,C,,,C,C,C,C,C
424,Ambipom,,,,,,,,,,,,,E,E,E,E,E,DWE,DWE,R,R,FSE,FSE,E,E,T,T,C,C,,,—,—,E,E,C
425,Drifloon,,,,,,,,,,,,,C,C,C,T,T,B,B,C,C,C,C,C,C,C,C,C,C,,,C,C,C,C,C
426,Drifblim,,,,,,,,,,,,,E,E,E,T,T,C,C,C,C,E,E,E,E,C,C,E,E,,,C,C,E,E,C
427,Buneary,,,,,,,,,,,,,C,C,C,S,S,DW,DW,C,DW,T,T,C,C,T,T,C,C,,,CD,CD,C,C,C
428,Lopunny,,,,,,,,,,,,,E,E,E,E,E,DWE,DWE,C,DWE,T,T,E,E,T,T,C,C,,,CD,CD,E,E,C
429,Mismagius,,,,,,,,,,,,,T,E,T,E,E,DWE,C,DWE,DWE,T,T,E,E,C,C,E,E,,,—,—,T,E,C
430,Honchkrow,,,,,,,,,,,,,E,T,T,E,E,C,DWE,E,E,E,E,E,E,E,E,C,C,,,—,—,E,T,C
431,Glameow,,,,,,,,,,,,,T,C,T,T,T,DW,DW,CC,C,T,T,C,C,T,T,T,T,,,—,—,T,C,C
432,Purugly,,,,,,,,,,,,,T,C,T,T,T,DWE,DWE,CCE,E,T,T,C,C,T,T,T,T,,,—,—,T,C,C
433,Chingling,,,,,,,,,,,,,C,C,C,C,C,B,B,DWB,DWB,C,C,B,B,T,T,T,T,,,—,—,C,C,C
434,Stunky,,,,,,,,,,,,,C,T,T,T,T,DW,DW,C,CC,C,C,T,T,T,T,T,T,,,C,C,C,T,C
435,Skuntank,,,,,,,,,,,,,C,T,T,T,T,DWE,DWE,E,CCE,E,E,T,T,T,T,T,T,,,C,C,C,T,C
436,Bronzor,,,,,,,,,,,,,C,C,C,C,C,B,B,C,C,FSB,FSB,C,C,T,T,T,T,,,C,C,C,C,C
437,Bronzong,,,,,,,,,,,,,C,C,C,C,C,C,C,C,C,FS,FS,E,E,T,T,T,T,,,C,C,C,C,C
438,Bonsly,,,,,,,,,,,,,S,C,S,B,B,DWB,DWB,B,DWB,B,B,T,T,C,C,C,C,,,C,C,S,C,C
439,Mime Jr.,,,,,,,,,,,,,C,S,S,B,B,DWB,DWB,DWB,B,C,C,T,T,T,T,C,C,,,C,C,C,S,C
440,Happiny,,,,,,,,,,,,,S,S,S,B,B,DWB,C,R,R,FSB,FSB,C,C,C,C,C,C,,,CD,CD,S,S,C
441,Chatot,,,,,,,,,,,,,C,C,C,C,C,DW,DW,C,C,C,C,C,C,T,T,T,T,,,—,—,C,C,C
442,Spiritomb,,,,,,,,,,,,,CC,CC,CC,PW,PW,DW,DW,R,R,FS,FS,C,C,T,T,T,T,,,CCD,CCD,C,C,C
443,Gible,,,,,,,,,,,,,C,C,C,C,C,DW,DW,R,DW,C,C,C,C,B,B,B,B,,,T,CD,C,C,C
444,Gabite,,,,,,,,,,,,,E,E,C,E,E,DWE,DWE,E,DWE,E,E,E,E,C,C,C,C,,,T,DD,C,C,C
445,Garchomp,,,,,,,,,,,,,E,E,E,E,E,DWE,DWE,E,DWE,E,E,E,E,E,E,E,E,,,T,CD,E,E,C
446,Munchlax,,,,,,,,,,,,,C,C,C,B,B,R,R,B,B,B,B,T,T,C,C,C,C,,,C,C,C,C,C
447,Riolu,,,,,,,,,,,,,R,R,R,C,C,C,C,C,C,C,C,T,T,C,C,C,C,,,C,C,R,R,C
448,Lucario,,,,,,,,,,,,,E,E,E,E,E,E,E,E,E,R,R,Ev,Ev,C,C,C,C,,,C,C,E,E,C
449,Hippopotas,,,,,,,,,,,,,C,C,C,C,C,S,S,B,B,C,C,T,T,T,T,B,B,,,C,C,C,C,C
450,Hippowdon,,,,,,,,,,,,,C,C,C,E,E,E,E,S,S,E,E,T,T,T,T,C,C,,,C,C,C,C,C
451,Skorupi,,,,,,,,,,,,,S,S,S,C,C,DW,DW,C,C,C,C,C,C,T,T,B,B,,,C,C,C,C,C
452,Drapion,,,,,,,,,,,,,S,S,S,E,E,DWE,DWE,E,E,C,C,E,E,T,T,C,C,,,C,C,S,S,C
453,Croagunk,,,,,,,,,,,,,S,S,C,C,C,S,S,C,C,C,C,T,T,T,T,T,T,,,T,C,C,C,C
454,Toxicroak,,,,,,,,,,,,,S,S,S,E,E,E,E,C,C,E,E,T,T,T,T,T,T,,,T,C,S,S,C
455,Carnivine,,,,,,,,,,,,,S,S,S,C,C,DW,DW,C,C,C,C,T,T,T,T,T,T,,,—,—,S,S,C
456,Finneon,,,,,,,,,,,,,C,C,C,PW,PW,C,C,C,C,T,T,C,C,C,C,C,C,,,—,—,C,C,C
457,Lumineon,,,,,,,,,,,,,C,C,C,PWE,PWE,C,C,C,C,T,T,E,E,C,C,C,C,,,—,—,C,C,C
458,Mantyke,,,,,,,,,,,,,C,C,C,B,T,C,C,C,C,C,C,C,C,T,T,C,C,,,C,C,C,C,C
459,Snover,,,,,,,,,,,,,C,C,C,PW,PW,DW,DW,DW,DW,C,C,T,T,T,T,B,B,,,C,C,C,C,C
460,Abomasnow,,,,,,,,,,,,,C,C,C,PWE,PWE,DWE,DWE,DWE,DWE,C,C,T,T,T,T,C,C,,,C,C,C,C,C
461,Weavile,,,,,,,,,,,,,E,E,E,E,E,E,E,E,E,E,E,T,T,E,E,E,E,,,C,C,E,E,C
